tool_name,neighbor_name,similarity,rank
biometricLogin,userActivityReport,0.843063,3
biometricLogin,twoFactorAuthentication,0.794925,4
biometricLogin,manageUsers,0.414225,5
emailLogin,biometricLogin,0.888985,1
emailLogin,userActivityReport,0.808884,2
emailLogin,customizeLoginScreen,0.801568,3
emailLogin,twoFactorAuthentication,0.779674,4
emailLogin,manageUsers,0.51823,5
twoFactorAuthentication,biometricLogin,0.794925,1
twoFactorAuthentication,emailLogin,0.779674,2
twoFactorAuthentication,userActivityReport,0.73315,3
twoFactorAuthentication,customizeLoginScreen,0.6205,4
twoFactorAuthentication,manageUsers,0.559791,5
customizeLoginScreen,biometricLogin,0.853679,1
customizeLoginScreen,emailLogin,0.801568,2
customizeLoginScreen,userActivityReport,0.772693,3
customizeLoginScreen,twoFactorAuthentication,0.6205,4
customizeLoginScreen,updateUserProfile,0.380686,5
userActivityReport,biometricLogin,0.843063,1
userActivityReport,emailLogin,0.808884,2
userActivityReport,customizeLoginScreen,0.772693,3
userActivityReport,twoFactorAuthentication,0.73315,4
userActivityReport,getEmailStatistics,0.517952,5
getRealtimeWeather,getRealTimeWeather,0.830383,1
getRealtimeWeather,getSunriseSunset,0.792371,2
getRealtimeWeather,getAirQuality,0.778718,3
getRealtimeWeather,getAirportWeather,0.750254,4
getRealtimeWeather,getWeatherAlerts,0.743918,5
getWeatherAlerts,getRealtimeWeather,0.743918,1
getWeatherAlerts,getLocationWeatherDetails,0.657645,2
getWeatherAlerts,getCurrentWeather,0.657141,3
getWeatherAlerts,getAirportWeather,0.640219,4
getWeatherAlerts,getSunriseSunset,0.63414,5
getAirQuality,getAirQualityData,0.799153,1
getAirQuality,getRealtimeWeather,0.778718,2
getAirQuality,getSunriseSunset,0.729665,3
getAirQuality,getAirportWeather,0.726226,4
getAirQuality,getRealtimeCityAQI,0.699526,5
getSunriseSunset,getRealtimeWeather,0.792371,1
getSunriseSunset,getAirQuality,0.729665,2
getSunriseSunset,getRealTimeWeather,0.712184,3
getSunriseSunset,getAstronomyData,0.704809,4
getSunriseSunset,getHistoricalWeather,0.698612,5
getAirportWeather,getAirportDelays,0.805958,1
getAirportWeather,getRealtimeWeather,0.750254,2
getAirportWeather,getAirQuality,0.726226,3
getAirportWeather,getSunriseSunset,0.649993,4
getAirportWeather,getWeatherAlerts,0.640219,5
getAirportDelays,getAirportWeather,0.805958,1
getAirportDelays,getRealtimeWeather,0.689746,2
getAirportDelays,getAirQuality,0.681817,3
getAirportDelays,getWeatherAlerts,0.606303,4
getAirportDelays,getSunriseSunset,0.596595,5
getPlayerScores,getQuests,0.840682,1
getPlayerScores,performGameAction,0.802263,2
getPlayerScores,getTaskInfo,0.800699,3
getPlayerScores,getItemInformation,0.777155,4
getPlayerScores,getMonsters,0.768064,5
getItemInformation,getWeaponDetails,0.831563,1
getItemInformation,getQuests,0.825078,2
getItemInformation,performGameAction,0.791635,3
getItemInformation,getTaskInfo,0.790568,4
getItemInformation,getPlayerScores,0.777155,5
getQuests,getTaskInfo,0.909778,1
getQuests,getPlayerScores,0.840682,2
getQuests,getItemInformation,0.825078,3
getQuests,getMonsters,0.811671,4
getQuests,performGameAction,0.808033,5
performGameAction,getQuests,0.808033,1
performGameAction,getPlayerScores,0.802263,2
performGameAction,getItemInformation,0.791635,3
performGameAction,getTaskInfo,0.78548,4
performGameAction,getMonsters,0.702693,5
getMonsters,getQuests,0.811671,1
getMonsters,getItemInformation,0.774918,2
getMonsters,getTaskInfo,0.771341,3
getMonsters,getPlayerScores,0.768064,4
getMonsters,getWeaponDetails,0.741565,5
getWeaponDetails,getItemInformation,0.831563,1
getWeaponDetails,getMonsters,0.741565,2
getWeaponDetails,getQuests,0.7294,3
getWeaponDetails,performGameAction,0.694849,4
getWeaponDetails,getPlayerScores,0.691288,5
getTaskInfo,getQuests,0.909778,1
getTaskInfo,getPlayerScores,0.800699,2
getTaskInfo,getItemInformation,0.790568,3
getTaskInfo,performGameAction,0.78548,4
getTaskInfo,getMonsters,0.771341,5
getCountryDivisions,getDivisionDetails,0.909089,1
getCountryDivisions,listCountries,0.871197,2
getCountryDivisions,searchDivisions,0.797085,3
getCountryDivisions,getProvinces,0.655741,4
getCountryDivisions,getDistrictsByProvince,0.651661,5
getDivisionDetails,getCountryDivisions,0.909089,1
getDivisionDetails,searchDivisions,0.829085,2
getDivisionDetails,listCountries,0.736398,3
getDivisionDetails,getDistrictsByProvince,0.683443,4
getDivisionDetails,getProvinces,0.612123,5
searchDivisions,getDivisionDetails,0.829085,1
searchDivisions,getCountryDivisions,0.797085,2
searchDivisions,listCountries,0.703838,3
searchDivisions,searchLocation,0.63512,4
searchDivisions,getDistrictsByProvince,0.604861,5
listCountries,getCountryDivisions,0.871197,1
listCountries,getDivisionDetails,0.736398,2
listCountries,searchDivisions,0.703838,3
listCountries,getProvinces,0.645478,4
listCountries,getCountryDetails,0.631708,5
embedMap,overlayDataOnMap,0.739702,1
embedMap,addCustomMarker,0.724734,2
embedMap,getMapBasedStations,0.432181,3
embedMap,getGeolocationData,0.413601,4
embedMap,LatLonToLocation,0.384963,5
addCustomMarker,overlayDataOnMap,0.862854,1
addCustomMarker,embedMap,0.724734,2
addCustomMarker,addGeocode,0.33931,3
addCustomMarker,getMapBasedStations,0.325666,4
addCustomMarker,getGeolocationData,0.307205,5
overlayDataOnMap,addCustomMarker,0.862854,1
overlayDataOnMap,embedMap,0.739702,2
overlayDataOnMap,getGeolocationData,0.363952,3
overlayDataOnMap,addGeocode,0.3545,4
overlayDataOnMap,getMapBasedStations,0.335038,5
createWallet,processPayment,0.602289,1
createWallet,processPayment_by_id,0.520233,2
createWallet,getArticleByAuthor,0.519143,3
createWallet,RetrieveArXivArticleMetadata,0.507733,4
createWallet,getBlockchainData,0.503484,5
filterArticlesBySource,searchHistoricalNewspapers,0.661994,1
filterArticlesBySource,getHeadlines,0.659815,2
filterArticlesBySource,getArticleMetadata,0.622822,3
filterArticlesBySource,searchTenders,0.615232,4
filterArticlesBySource,filterArticles,0.611937,5
getArticleMetadata,getArticleByAuthor,0.796157,1
getArticleMetadata,RetrieveArXivArticleMetadata,0.760419,2
getArticleMetadata,getFullText,0.704329,3
getArticleMetadata,GetArticleMetadata,0.682998,4
getArticleMetadata,retrieveMetadata,0.626115,5
getArticleByAuthor,getArticleMetadata,0.796157,1
getArticleByAuthor,RetrieveArXivArticleMetadata,0.676489,2
getArticleByAuthor,searchAuthorsArticles,0.629251,3
getArticleByAuthor,GetArticleMetadata,0.624354,4
getArticleByAuthor,getFullText,0.604087,5
getBlockchainData,getArticleMetadata,0.577074,1
getBlockchainData,RetrieveArXivArticleMetadata,0.563147,2
getBlockchainData,processPayment,0.513548,3
getBlockchainData,retrieveHostDetails,0.508048,4
getBlockchainData,createWallet,0.503484,5
getFullText,RetrieveArXivArticleMetadata,0.854577,1
getFullText,GetArticleMetadata,0.781277,2
getFullText,getArticleMetadata,0.704329,3
getFullText,getArticleByAuthor,0.604087,4
getFullText,getFullTextAndImageData,0.534811,5
processPayment,processPayment_by_id,0.736326,1
processPayment,createWallet,0.602289,2
processPayment,getBlockchainData,0.513548,3
processPayment,getArticleMetadata,0.512223,4
processPayment,RetrieveArXivArticleMetadata,0.470592,5
processPayment_by_id,processPayment,0.736326,1
processPayment_by_id,getOrderDetails,0.645357,2
processPayment_by_id,getStoreInfo,0.590353,3
processPayment_by_id,manageOrder,0.550095,4
processPayment_by_id,createTransaction,0.549721,5
searchArticles,searchArticlesByCountry,0.975499,1
searchArticles,filterArticles,0.687871,2
searchArticles,filterNewsByCategory,0.61622,3
searchArticles,searchTweets,0.59198,4
searchArticles,retrieveTrendingNews,0.573254,5
RetrieveArXivArticleMetadata,getFullText,0.854577,1
RetrieveArXivArticleMetadata,GetArticleMetadata,0.839488,2
RetrieveArXivArticleMetadata,getArticleMetadata,0.760419,3
RetrieveArXivArticleMetadata,getArticleByAuthor,0.676489,4
RetrieveArXivArticleMetadata,getBlockchainData,0.563147,5
searchComponents,getTechnicalDocs,0.858397,1
searchComponents,placeOrder,0.830845,2
searchComponents,getPricingAndStock,0.823447,3
searchComponents,trackShipment,0.777042,4
searchComponents,searchProduct,0.635187,5
getPricingAndStock,getTechnicalDocs,0.847076,1
getPricingAndStock,searchComponents,0.823447,2
getPricingAndStock,trackShipment,0.801789,3
getPricingAndStock,placeOrder,0.795794,4
getPricingAndStock,searchProduct,0.579261,5
placeOrder,searchComponents,0.830845,1
placeOrder,trackShipment,0.82312,2
placeOrder,getTechnicalDocs,0.815563,3
placeOrder,getPricingAndStock,0.795794,4
placeOrder,getOrderDetails,0.601638,5
trackShipment,getTechnicalDocs,0.845727,1
trackShipment,placeOrder,0.82312,2
trackShipment,getPricingAndStock,0.801789,3
trackShipment,searchComponents,0.777042,4
trackShipment,getOrderDetails,0.568946,5
getTechnicalDocs,searchComponents,0.858397,1
getTechnicalDocs,getPricingAndStock,0.847076,2
getTechnicalDocs,trackShipment,0.845727,3
getTechnicalDocs,placeOrder,0.815563,4
getTechnicalDocs,searchProduct,0.540019,5
getHolidaysByCountryAndYear,getHolidaysByCountriesAndYears,0.945688,1
getHolidaysByCountryAndYear,getHolidayInformation,0.918005,2
getHolidaysByCountryAndYear,isDateHoliday,0.81738,3
getHolidaysByCountryAndYear,getDailyNewCases,0.563629,4
getHolidaysByCountryAndYear,listCountries,0.558312,5
getHolidaysByCountriesAndYears,getHolidaysByCountryAndYear,0.945688,1
getHolidaysByCountriesAndYears,getHolidayInformation,0.869177,2
getHolidaysByCountriesAndYears,isDateHoliday,0.782028,3
getHolidaysByCountriesAndYears,getEconomicActivityInfo,0.580546,4
getHolidaysByCountriesAndYears,getStatisticsByAgeGroup,0.571323,5
getHolidayInformation,getHolidaysByCountryAndYear,0.918005,1
getHolidayInformation,getHolidaysByCountriesAndYears,0.869177,2
getHolidayInformation,isDateHoliday,0.83452,3
getHolidayInformation,getDailyNewCases,0.586161,4
getHolidayInformation,searchHosts,0.570096,5
isDateHoliday,getHolidayInformation,0.83452,1
isDateHoliday,getHolidaysByCountryAndYear,0.81738,2
isDateHoliday,getHolidaysByCountriesAndYears,0.782028,3
isDateHoliday,getGlobalData,0.558451,4
isDateHoliday,getDailyNewCases,0.552648,5
searchHosts,retrieveHostDetails,0.76001,1
searchHosts,searchDomain,0.592063,2
searchHosts,searchHistoricalNewspapers,0.584288,3
searchHosts,searchChapters,0.581701,4
searchHosts,getHolidayInformation,0.570096,5
identifyVulnerabilities,getHolidayInformation,0.547719,1
identifyVulnerabilities,retrieveHostDetails,0.53185,2
identifyVulnerabilities,isDateHoliday,0.515728,3
identifyVulnerabilities,searchHosts,0.499665,4
identifyVulnerabilities,checkUrlsSafety,0.4943,5
retrieveHostDetails,searchHosts,0.76001,1
retrieveHostDetails,getDomainIP,0.6759,2
retrieveHostDetails,getDomainNameServers,0.652284,3
retrieveHostDetails,getDomainMailServers,0.602716,4
retrieveHostDetails,getDomainByIP,0.594433,5
getEconomicData,downloadDataset,0.865714,1
getEconomicData,searchDatasets,0.834142,2
getEconomicData,getLatestUpdates,0.81842,3
getEconomicData,SearchGermanGovDatasets,0.817857,4
getEconomicData,getStatistics,0.805084,5
searchDatasets,SearchGermanGovDatasets,0.843981,1
searchDatasets,getEconomicData,0.834142,2
searchDatasets,downloadDataset,0.817359,3
searchDatasets,getDatasetMetadata,0.777002,4
searchDatasets,getLatestDatasets,0.774046,5
downloadDataset,getEconomicData,0.865714,1
downloadDataset,searchDatasets,0.817359,2
downloadDataset,getDatasetMetadata,0.816337,3
downloadDataset,SearchGermanGovDatasets,0.810047,4
downloadDataset,getLatestUpdates,0.775948,5
getDatasetMetadata,getLatestDatasets,0.869859,1
getDatasetMetadata,SearchGermanGovDatasets,0.828807,2
getDatasetMetadata,downloadDataset,0.816337,3
getDatasetMetadata,getEconomicData,0.787889,4
getDatasetMetadata,listCategories,0.780523,5
listCategories,getLatestDatasets,0.794873,1
listCategories,SearchGermanGovDatasets,0.78977,2
listCategories,getDatasetMetadata,0.780523,3
listCategories,getStatistics,0.715554,4
listCategories,getLatestUpdates,0.684763,5
getLatestDatasets,getDatasetMetadata,0.869859,1
getLatestDatasets,getLatestUpdates,0.828716,2
getLatestDatasets,listCategories,0.794873,3
getLatestDatasets,downloadDataset,0.774735,4
getLatestDatasets,searchDatasets,0.774046,5
getStatistics,getLatestUpdates,0.825829,1
getStatistics,getEconomicData,0.805084,2
getStatistics,SearchGermanGovDatasets,0.75706,3
getStatistics,getDatasetMetadata,0.745153,4
getStatistics,downloadDataset,0.73318,5
getLatestUpdates,getLatestDatasets,0.828716,1
getLatestUpdates,getStatistics,0.825829,2
getLatestUpdates,getEconomicData,0.81842,3
getLatestUpdates,getDatasetMetadata,0.778591,4
getLatestUpdates,downloadDataset,0.775948,5
SearchGermanGovDatasets,searchDatasets,0.843981,1
SearchGermanGovDatasets,getDatasetMetadata,0.828807,2
SearchGermanGovDatasets,getEconomicData,0.817857,3
SearchGermanGovDatasets,downloadDataset,0.810047,4
SearchGermanGovDatasets,listCategories,0.78977,5
searchLyrics,getRankings,0.773517,1
searchLyrics,getArtistInfo,0.744468,2
searchLyrics,createPlaylist,0.704146,3
searchLyrics,getSongDetails,0.553424,4
searchLyrics,getSongMP3,0.539216,5
getArtistInfo,getRankings,0.830658,1
getArtistInfo,getArtistMetadata,0.780286,2
getArtistInfo,retrieveArtistInfo,0.77364,3
getArtistInfo,searchLyrics,0.744468,4
getArtistInfo,createPlaylist,0.738148,5
createPlaylist,getRankings,0.850259,1
createPlaylist,getArtistInfo,0.738148,2
createPlaylist,searchLyrics,0.704146,3
createPlaylist,searchMusic,0.570322,4
createPlaylist,GetMusicTrackDetails,0.563728,5
getRankings,createPlaylist,0.850259,1
getRankings,getArtistInfo,0.830658,2
getRankings,searchLyrics,0.773517,3
getRankings,searchMusic,0.579107,4
getRankings,GetMusicTrackDetails,0.562601,5
echoGet,echoPost,0.75742,1
echoGet,echoStatus,0.731323,2
echoGet,echoHeaders,0.682827,3
echoGet,echoAuth,0.67766,4
echoGet,getFullText,0.435445,5
echoPost,echoHeaders,0.816418,1
echoPost,echoStatus,0.783324,2
echoPost,echoGet,0.75742,3
echoPost,echoAuth,0.721147,4
echoPost,getFullText,0.397449,5
echoHeaders,echoPost,0.816418,1
echoHeaders,echoStatus,0.751435,2
echoHeaders,echoAuth,0.683957,3
echoHeaders,echoGet,0.682827,4
echoHeaders,getFullText,0.401596,5
echoStatus,echoAuth,0.795552,1
echoStatus,echoPost,0.783324,2
echoStatus,echoHeaders,0.751435,3
echoStatus,echoGet,0.731323,4
echoStatus,verifyPhoneNumber,0.418747,5
echoAuth,echoStatus,0.795552,1
echoAuth,echoPost,0.721147,2
echoAuth,echoHeaders,0.683957,3
echoAuth,echoGet,0.67766,4
echoAuth,authenticateUser,0.397295,5
convertColor,getComplementaryColor,0.87599,1
convertColor,generateGrayscale,0.854101,2
convertColor,calculateContrast,0.837183,3
convertColor,convertToWGS84,0.303915,4
convertColor,RetrieveExchangeRate,0.283097,5
getComplementaryColor,convertColor,0.87599,1
getComplementaryColor,calculateContrast,0.861813,2
getComplementaryColor,generateGrayscale,0.851063,3
getComplementaryColor,getFishBasicInfo,0.35239,4
getComplementaryColor,getWordExamples,0.3143,5
generateGrayscale,convertColor,0.854101,1
generateGrayscale,getComplementaryColor,0.851063,2
generateGrayscale,calculateContrast,0.825884,3
generateGrayscale,generateRandomBytes,0.3289,4
generateGrayscale,generateParagraphsWithOptions,0.314081,5
calculateContrast,getComplementaryColor,0.861813,1
calculateContrast,convertColor,0.837183,2
calculateContrast,generateGrayscale,0.825884,3
calculateContrast,getExchangeRate,0.281789,4
calculateContrast,RetrieveExchangeRate,0.26078,5
searchTweets,streamTweets,0.73278,1
searchTweets,postTweet,0.728943,2
searchTweets,getFriendsList,0.693122,3
searchTweets,getUserInfo,0.671095,4
searchTweets,searchTweetsDetails,0.653754,5
streamTweets,getUserInfo,0.764489,1
streamTweets,searchTweets,0.73278,2
streamTweets,getFriendsList,0.708145,3
streamTweets,postTweet,0.695199,4
streamTweets,getCurrentWeather,0.574138,5
getUserInfo,getFriendsList,0.790985,1
getUserInfo,streamTweets,0.764489,2
getUserInfo,postTweet,0.741939,3
getUserInfo,searchTweetsDetails,0.672843,4
getUserInfo,searchTweets,0.671095,5
getFriendsList,getUserInfo,0.790985,1
getFriendsList,streamTweets,0.708145,2
getFriendsList,searchTweets,0.693122,3
getFriendsList,postTweet,0.647576,4
getFriendsList,searchTweetsDetails,0.579481,5
postTweet,getUserInfo,0.741939,1
postTweet,searchTweets,0.728943,2
postTweet,streamTweets,0.695199,3
postTweet,getFriendsList,0.647576,4
postTweet,searchTweetsDetails,0.629833,5
createShortLink,listShortLinks,0.915845,1
createShortLink,modifyShortLinks,0.903957,2
createShortLink,retrieveOriginalUrl,0.895161,3
createShortLink,shortenUrl,0.701848,4
createShortLink,generateShortUrl,0.701089,5
retrieveOriginalUrl,createShortLink,0.895161,1
retrieveOriginalUrl,listShortLinks,0.850801,2
retrieveOriginalUrl,modifyShortLinks,0.833107,3
retrieveOriginalUrl,shortenUrl,0.755324,4
retrieveOriginalUrl,getOriginalUrl,0.732101,5
listShortLinks,createShortLink,0.915845,1
listShortLinks,modifyShortLinks,0.884408,2
listShortLinks,retrieveOriginalUrl,0.850801,3
listShortLinks,listShortUrls,0.671455,4
listShortLinks,getMetrics,0.63684,5
modifyShortLinks,createShortLink,0.903957,1
modifyShortLinks,listShortLinks,0.884408,2
modifyShortLinks,retrieveOriginalUrl,0.833107,3
modifyShortLinks,updateUrlExpiry,0.660549,4
modifyShortLinks,shortenUrl,0.60943,5
getRealtimeData,normalizeMarketData,0.885626,1
getRealtimeData,get24hSeriesData,0.881402,2
getRealtimeData,getHistoricalData,0.862777,3
getRealtimeData,getOrderBookData,0.822769,4
getRealtimeData,getRealTimeCryptoData,0.757738,5
getHistoricalData,get24hSeriesData,0.919664,1
getHistoricalData,getRealtimeData,0.862777,2
getHistoricalData,normalizeMarketData,0.823234,3
getHistoricalData,getOrderBookData,0.798671,4
getHistoricalData,getHistoricalCryptoData,0.734026,5
get24hSeriesData,getHistoricalData,0.919664,1
get24hSeriesData,getRealtimeData,0.881402,2
get24hSeriesData,normalizeMarketData,0.841759,3
get24hSeriesData,getOrderBookData,0.806155,4
get24hSeriesData,getRealTimeCryptoData,0.676015,5
getOrderBookData,getRealtimeData,0.822769,1
getOrderBookData,get24hSeriesData,0.806155,2
getOrderBookData,getHistoricalData,0.798671,3
getOrderBookData,normalizeMarketData,0.794006,4
getOrderBookData,getHistoricalCryptoData,0.687998,5
normalizeMarketData,getRealtimeData,0.885626,1
normalizeMarketData,get24hSeriesData,0.841759,2
normalizeMarketData,getHistoricalData,0.823234,3
normalizeMarketData,getOrderBookData,0.794006,4
normalizeMarketData,getRealTimeCryptoData,0.67534,5
getCountryData,getCurrentCovidStats,0.835967,1
getCountryData,getCovidHistoryData,0.802708,2
getCountryData,getCountryIndicatorData,0.789493,3
getCountryData,getGlobalStats,0.781295,4
getCountryData,AccessCountryData,0.770916,5
getCountryIndicatorData,AccessCountryData,0.953015,1
getCountryIndicatorData,getCountryData,0.789493,2
getCountryIndicatorData,getGlobalStats,0.732594,3
getCountryIndicatorData,getVirusSpreadMap,0.672409,4
getCountryIndicatorData,getCurrentCovidStats,0.656424,5
getGlobalStats,getCountryData,0.781295,1
getGlobalStats,getCurrentCovidStats,0.776551,2
getGlobalStats,getCountryIndicatorData,0.732594,3
getGlobalStats,AccessCountryData,0.707663,4
getGlobalStats,getCovidHistoryData,0.698863,5
getVirusSpreadMap,getGlobalStats,0.690491,1
getVirusSpreadMap,getCountryIndicatorData,0.672409,2
getVirusSpreadMap,getCountryData,0.669751,3
getVirusSpreadMap,AccessCountryData,0.636851,4
getVirusSpreadMap,getCurrentCovidStats,0.578615,5
AccessCountryData,getCountryIndicatorData,0.953015,1
AccessCountryData,getCountryData,0.770916,2
AccessCountryData,getGlobalStats,0.707663,3
AccessCountryData,getVirusSpreadMap,0.636851,4
AccessCountryData,getCurrentCovidStats,0.633184,5
getEconomicIndicators,accessDataInJSON,0.808154,1
getEconomicIndicators,searchTimeSeries,0.786972,2
getEconomicIndicators,getCountryIndicatorData,0.64273,3
getEconomicIndicators,getPopulationData,0.625969,4
getEconomicIndicators,getEconomicData,0.613457,5
searchTimeSeries,getEconomicIndicators,0.786972,1
searchTimeSeries,accessDataInJSON,0.756404,2
searchTimeSeries,SearchGermanGovDatasets,0.65339,3
searchTimeSeries,searchDatasets,0.650144,4
searchTimeSeries,getEconomicData,0.63828,5
accessDataInJSON,getEconomicIndicators,0.808154,1
accessDataInJSON,searchTimeSeries,0.756404,2
accessDataInJSON,getEconomicData,0.703319,3
accessDataInJSON,accessDataFormats,0.657472,4
accessDataInJSON,downloadDataset,0.610217,5
getCurrentLiturgicalCalendar,searchLiturgicalEventsDetails,0.828553,1
getCurrentLiturgicalCalendar,searchLiturgicalEvents,0.816646,2
getCurrentLiturgicalCalendar,customizeCalendar,0.797148,3
getCurrentLiturgicalCalendar,getHolidayInformation,0.53107,4
getCurrentLiturgicalCalendar,getCityShow,0.518417,5
searchLiturgicalEvents,searchLiturgicalEventsDetails,0.915475,1
searchLiturgicalEvents,getCurrentLiturgicalCalendar,0.816646,2
searchLiturgicalEvents,customizeCalendar,0.702571,3
searchLiturgicalEvents,getCityShow,0.507791,4
searchLiturgicalEvents,filterArticlesBySource,0.505481,5
searchLiturgicalEventsDetails,searchLiturgicalEvents,0.915475,1
searchLiturgicalEventsDetails,getCurrentLiturgicalCalendar,0.828553,2
searchLiturgicalEventsDetails,customizeCalendar,0.735234,3
searchLiturgicalEventsDetails,identifyVulnerabilities,0.466406,4
searchLiturgicalEventsDetails,getShowDetail,0.457026,5
customizeCalendar,getCurrentLiturgicalCalendar,0.797148,1
customizeCalendar,searchLiturgicalEventsDetails,0.735234,2
customizeCalendar,searchLiturgicalEvents,0.702571,3
customizeCalendar,getHolidayInformation,0.426934,4
customizeCalendar,getCityShow,0.402194,5
retrieveArtistInfo,getTrackDetails,0.841653,1
retrieveArtistInfo,getArtistMetadata,0.833306,2
retrieveArtistInfo,getAlbumInfo,0.824778,3
retrieveArtistInfo,searchMusic,0.785747,4
retrieveArtistInfo,GetMusicTrackDetails,0.774581,5
getAlbumInfo,getTrackDetails,0.855437,1
getAlbumInfo,retrieveArtistInfo,0.824778,2
getAlbumInfo,getArtistMetadata,0.792582,3
getAlbumInfo,searchMusic,0.77248,4
getAlbumInfo,GetMusicTrackDetails,0.748825,5
getTrackDetails,GetMusicTrackDetails,0.904232,1
getTrackDetails,getAlbumInfo,0.855437,2
getTrackDetails,retrieveArtistInfo,0.841653,3
getTrackDetails,getArtistMetadata,0.788384,4
getTrackDetails,searchMusic,0.752791,5
